timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681927120647,352,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-9,text,true,,1743,375,9,23,https://reqres.in/api/users?page=2,338,0,289
1681927120644,352,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-9,,true,,1743,375,9,23,null,338,8,289
1681927120368,650,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-8,text,true,,1745,375,9,23,https://reqres.in/api/users?page=2,618,0,546
1681927120367,650,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-8,,true,,1745,375,9,23,null,618,6,546
1681927121005,26,Get User By ID,200,OK,CRUD Operations 3-9,text,true,,1000,370,10,24,https://reqres.in/api/users/9,26,0,0
1681927121023,58,Get User By ID,200,OK,CRUD Operations 3-8,text,true,,1002,371,10,24,https://reqres.in/api/users/11,57,0,0
1681927121036,45,Get User By ID,200,OK,CRUD Operations 3-9,text,true,,1000,371,10,24,https://reqres.in/api/users/11,45,0,0
1681927119387,1724,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-2,text,true,,1749,375,10,24,https://reqres.in/api/users?page=2,1723,0,1692
1681927119384,1724,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-2,,true,,1749,375,10,24,null,1723,6,1692
1681927121082,35,Get User By ID,200,OK,CRUD Operations 3-8,text,true,,1006,370,10,24,https://reqres.in/api/users/8,35,0,0
1681927121082,38,Get User By ID,304,Not Modified,CRUD Operations 3-9,,true,,636,423,10,24,https://reqres.in/api/users/11,0,0,0
1681927119715,1409,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-4,text,true,,1755,375,10,24,https://reqres.in/api/users?page=2,1270,0,1202
1681927119843,1283,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-5,text,true,,1751,375,10,24,https://reqres.in/api/users?page=2,1283,0,1250
1681927119841,1283,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-5,,true,,1751,375,10,24,null,1283,3,1250
1681927119714,1410,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-4,,true,,1755,375,10,24,null,1270,7,1202
1681927120181,819,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-7,text,true,,1747,375,10,24,https://reqres.in/api/users?page=2,817,0,764
1681927120175,819,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-7,,true,,1747,375,10,24,null,817,140,764
1681927119166,1833,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-1,text,true,,1745,375,10,24,https://reqres.in/api/users?page=2,1819,0,1765
1681927119164,1833,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-1,,true,,1745,375,10,24,null,1819,141,1765
1681927121118,33,Get User By ID,304,Not Modified,CRUD Operations 3-8,,true,,636,422,10,24,https://reqres.in/api/users/8,0,0,0
1681927121115,40,Get User By ID,200,OK,CRUD Operations 3-2,text,true,,1006,371,10,24,https://reqres.in/api/users/11,40,0,0
1681927121123,37,Get User By ID,304,Not Modified,CRUD Operations 3-9,,true,,642,422,10,24,https://reqres.in/api/users/9,0,0,0
1681927121132,36,Get User By ID,200,OK,CRUD Operations 3-4,text,true,,1004,371,10,24,https://reqres.in/api/users/11,36,0,0
1681927121128,35,Get User By ID,200,OK,CRUD Operations 3-5,text,true,,992,370,10,24,https://reqres.in/api/users/9,35,0,0
1681927121135,40,Get User By ID,200,OK,CRUD Operations 3-7,text,true,,1002,370,10,24,https://reqres.in/api/users/9,40,0,0
1681927121138,38,Get User By ID,200,OK,CRUD Operations 3-1,text,true,,1000,371,10,24,https://reqres.in/api/users/12,38,0,0
1681927121152,29,Get User By ID,304,Not Modified,CRUD Operations 3-8,,true,,646,422,10,24,https://reqres.in/api/users/8,0,0,0
1681927121163,25,Get User By ID,304,Not Modified,CRUD Operations 3-9,,true,,638,423,10,24,https://reqres.in/api/users/11,0,0,0
1681927121156,35,Get User By ID,200,OK,CRUD Operations 3-2,text,true,,1012,370,10,24,https://reqres.in/api/users/8,35,0,0
1681927121169,26,Get User By ID,200,OK,CRUD Operations 3-4,text,true,,1004,370,10,24,https://reqres.in/api/users/8,26,0,0
1681927121176,27,Get User By ID,200,OK,CRUD Operations 3-5,text,true,,1002,370,10,24,https://reqres.in/api/users/7,27,0,0
1681927121177,30,Get User By ID,200,OK,CRUD Operations 3-1,text,true,,1006,371,10,24,https://reqres.in/api/users/11,30,0,0
1681927121183,27,Get User By ID,304,Not Modified,CRUD Operations 3-7,,true,,636,422,10,24,https://reqres.in/api/users/9,0,0,0
1681927121189,27,Get User By ID,200,OK,CRUD Operations 3-9,text,true,,996,370,10,24,https://reqres.in/api/users/7,27,0,0
1681927120001,1215,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-6,text,true,,1747,375,10,24,https://reqres.in/api/users?page=2,1214,0,1185
1681927121004,198,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-9,,true,,4912,2379,10,24,null,98,15,0
1681927119999,1215,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-6,,true,,1747,375,10,24,null,1214,4,1185
1681927121183,37,Get User By ID,200,OK,CRUD Operations 3-8,text,true,,1002,370,10,24,https://reqres.in/api/users/7,37,0,0
1681927121197,25,Get User By ID,200,OK,CRUD Operations 3-4,text,true,,1002,370,10,24,https://reqres.in/api/users/9,25,0,0
